id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;dmgender;dmbirth;dmswiss;dmnatio;dmres;dmwork;sssknow;sssmember;sssmember[other];ssstime;trlvl;trlvl[other];tryear;trcontswiss;trreg;trarea[1];trarea[2];trarea[3];trarea[4];trarea[5];trarea[6];trarea[7];trarea[8];trarea[9];trarea[10];trarea[11];trarea[12];trarea[13];trarea[14];trarea[15];trarea[16];trarea[17];trarea[18];trarea[19];trarea[other];trcont[1];trcont[2];trcont[3];trcont[4];trcont[5];trcont[6];trcont[7];trcont[other];trcont2;trcont2[other];plemployed;plstatus;plstatus[other];plrole;plsector;plyexp;plrate;plsenior;plsenior[other];plskill[1];plskill[2];plskill[3];plskill[4];plskill[5];plskill[6];plskill[other];ustime[1][1];ustime[1][2];ustime[2][1];ustime[2][2];ustime[3][1];ustime[3][2];ustime[4][1];ustime[4][2];ustime[5][1];ustime[5][2];ustime[6][1];ustime[6][2];issalary;issatisf;issatisf2[1];issatisf2[2];issatisf2[3];issatisf2[4];issatisf2[5];issatisf2[6];issatisf2[7];issatisf2[8];issatisf2[9];issatisf2[10];issatisf2[11];issatisf2[12];interviewtime;groupTime652;dmgenderTime;dmbirthTime;dmswissTime;dmnatioTime;dmresTime;dmworkTime;groupTime653;sssknowTime;sssmemberTime;ssstimeTime;groupTime654;trlvlTime;tryearTime;trcontswissTime;trregTime;trareaTime;trcontTime;trcont2Time;groupTime657;plemployedTime;plstatusTime;plroleTime;plsectorTime;plyexpTime;plrateTime;plseniorTime;plskillTime;groupTime663;ustimeTime;groupTime658;issalaryTime;issatisfTime;issatisf2Time
53;2025-06-09;6;en;403268;2025-06-09;2025-06-09;1;1987;1;;24;4;0;4;;4;2;;2010;1;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;4;;Unemployed;;0;;6;;0;0;0;0;1;0;;0;2;0;3;3;3;1;2;2;1;4;2;;;4;2;2;2;2;4;2;4;2;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;2025-06-04;8;en;728037;2025-06-04;2025-06-04;1;1996;1;;22;10;1;3;;1;1;;2024;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Software Engineer;4;0;90;2;;0;0;0;1;0;1;;1;2;2;3;4;0;1;1;4;3;1;0;75'710;3;1;2;3;2;2;4;3;3;2;1;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;2025-12-11;15;en;385945;2025-12-11;2025-12-11;2;1999;1;;1;20;1;1;;3;2;;2022;1;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;;;;0;3;;Student;;0;;6;;0;0;0;0;0;0;;3;1;0;3;3;0;0;2;2;1;3;0;;;3;;1;4;3;3;4;3;3;4;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;2025-03-22;16;en;509545;2025-03-22;2025-03-22;1;1998;1;;5;1;1;1;;2;3;;2019;1;;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;0;0;0;0;1;0;0;;;;1;;;Statistician;30;6;90;4;;1;1;0;0;0;0;;1;2;0;3;0;0;4;2;1;2;0;1;92'086;4;;3;4;3;2;3;3;2;;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;;3;en;551798;2025-12-12;2025-12-12;1;1994;2;1;8;22;0;1;;2;1;;2014;1;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;0;1;0;0;0;0;;;;1;;;Senior Statistician;23;18;80;2;;0;0;0;0;1;0;;2;2;3;2;3;1;4;1;2;2;0;3;117'933;1;2;3;5;2;1;1;4;2;1;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;2025-02-14;9;en;771088;2025-02-14;2025-02-14;1;1968;1;;8;12;0;3;;1;2;;2006;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;1;0;0;0;0;0;0;;;;1;;;Postdoc;28;19;100;3;;0;0;0;1;1;1;;1;1;2;1;2;2;1;2;1;3;4;2;88'532;1;2;2;2;5;1;2;2;3;3;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;2025-06-01;3;en;740235;2025-06-01;2025-06-01;1;1992;1;;4;27;1;2;;2;4;;2020;1;;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;0;1;0;1;0;0;;;;1;;;Senior Statistician;17;10;60;3;;0;0;0;1;0;0;;0;0;2;2;3;3;0;1;4;0;4;2;109'488;1;3;3;4;4;2;2;4;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;2025-09-30;1;en;548436;2025-09-30;2025-09-30;1;1958;1;;27;28;1;1;;2;5;;1982;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Bioinformatics;0;1;0;0;0;0;0;;;;1;;;Project Manager;6;36;70;1;;1;0;1;0;0;0;;0;2;2;0;1;3;4;2;0;0;4;2;138'911;2;4;3;1;3;2;4;3;3;4;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;2025-10-30;8;en;644503;2025-10-30;2025-10-30;1;1995;1;;1;3;0;3;;1;3;;2014;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;0;1;0;0;0;0;0;;;;0;3;;Student;;0;;6;;0;0;0;1;0;0;;4;2;0;0;0;1;3;0;4;3;2;2;;;2;2;2;1;3;4;2;2;3;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;2025-06-19;12;en;221859;2025-06-19;2025-06-19;1;1969;1;;3;14;1;1;;2;4;;1991;1;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Senior Statistician;22;37;90;2;;1;0;0;1;0;1;;0;3;4;1;1;1;3;0;1;2;3;1;103'917;4;4;1;2;3;5;4;2;2;3;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;2025-07-10;8;en;541668;2025-07-10;2025-07-10;1;1986;1;;13;25;1;1;;2;1;;2005;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;0;0;0;0;0;1;0;;;;0;5;;Retired;;0;;6;;0;1;0;0;1;0;;2;3;0;0;0;2;3;2;4;2;0;1;;;2;;4;1;3;4;4;4;3;4;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;2025-06-17;4;en;346282;2025-06-17;2025-06-17;4;1972;2;1;9;22;1;4;;3;5;;2010;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1;0;0;0;0;0;0;;;;0;2;;Unemployed;;0;;6;;1;0;0;0;0;0;;1;1;0;0;1;1;2;3;0;3;4;2;;;;;2;3;3;2;3;3;5;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;2025-05-22;13;en;895434;2025-05-22;2025-05-22;2;1973;1;;6;19;1;1;;3;5;;2021;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Senior Statistician;17;5;90;2;;0;0;0;0;0;1;;0;3;4;2;1;1;2;2;4;3;2;1;84'996;2;1;2;3;4;2;;3;1;2;4;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;2026-02-01;16;en;445920;2026-02-01;2026-02-01;1;1991;1;;21;26;1;1;;1;5;;2024;1;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Biostatistician;14;0;80;2;;0;0;0;0;1;1;;3;0;3;3;2;0;3;3;2;0;4;0;79'296;3;2;1;5;3;4;3;3;2;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;2025-03-27;8;en;793041;2025-03-27;2025-03-27;1;1968;2;1;7;27;1;3;;2;2;;2016;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;0;1;1;0;0;0;0;;;;1;;;Data Scientist;1;7;100;5;;1;0;0;1;0;0;;1;0;0;1;4;2;4;0;1;1;4;0;89'677;3;2;2;3;2;2;2;2;4;5;5;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;;13;en;216447;2025-01-26;2025-01-26;2;1980;1;;7;25;0;3;;2;1;;1999;1;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;;;;1;;;Quantitative Analyst;31;24;100;2;;0;0;0;0;1;0;;3;2;4;2;2;2;2;2;4;1;0;1;76'797;3;2;2;2;2;4;2;2;1;2;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;2025-08-15;6;en;998114;2025-08-15;2025-08-15;2;1963;1;;12;25;1;2;;1;3;;1996;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;3;;Student;;0;;6;;1;1;0;0;1;0;;4;1;2;3;4;0;2;2;0;2;2;1;;;3;2;4;5;;2;4;4;3;2;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;2025-07-12;8;en;364502;2025-07-12;2025-07-12;2;2004;1;;22;28;1;1;;3;2;;2023;1;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;4;;Unemployed;;0;;6;;0;0;0;0;0;0;;1;2;0;1;4;1;2;0;0;2;1;2;;;4;3;3;1;2;1;3;2;3;5;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;2025-06-29;1;en;736951;2025-06-29;2025-06-29;2;1999;2;2;23;16;0;2;;1;4;;2025;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1;0;0;0;0;0;0;;;;1;;;Professor;10;7;80;3;;0;0;1;0;0;0;;4;1;2;3;1;0;1;3;2;0;3;1;108'751;2;2;;2;3;3;3;5;3;4;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;2025-03-19;15;en;100516;2025-03-19;2025-03-19;1;1976;1;;3;6;0;1;;3;2;;2002;2;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;0;0;0;0;0;1;0;;;;1;;;Statistician;10;21;100;3;;0;0;0;0;1;1;;3;2;0;1;4;1;2;2;2;0;0;2;123'312;2;5;4;4;3;3;1;3;2;2;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;2025-05-23;14;en;824264;2025-05-23;2025-05-23;1;1992;1;;18;22;0;2;;1;3;;2023;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;0;0;1;0;0;0;0;;;;1;;;Project Manager;24;1;90;4;;0;0;0;0;1;1;;3;3;2;1;3;1;3;1;1;3;1;1;60'813;2;1;4;2;2;3;;2;3;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;2026-02-01;2;en;786680;2026-02-01;2026-02-01;2;1991;1;;5;3;1;1;;1;5;;2013;1;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;2;;Unemployed;;0;;6;;0;0;0;0;1;0;;2;2;0;2;1;0;1;2;1;0;3;3;;;3;4;3;2;2;3;2;3;2;3;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;2026-01-04;7;en;857437;2026-01-04;2026-01-04;2;1989;2;1;15;3;1;1;;1;5;;2014;1;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;5;;Retired;;0;;6;;1;1;0;0;0;0;;1;2;2;1;4;2;1;2;4;1;4;2;;;2;5;1;2;4;2;2;2;4;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;2025-11-20;12;en;254902;2025-11-20;2025-11-20;2;1963;1;;15;1;1;2;;2;3;;2013;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0;0;0;0;0;0;1;;;;1;;;Senior Statistician;24;11;100;3;;0;0;0;0;0;1;;1;3;4;3;4;2;4;1;1;2;2;0;136'345;1;3;5;4;1;4;2;2;4;2;3;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;2025-01-23;12;en;765266;2025-01-23;2025-01-23;1;1965;1;;17;1;1;1;;2;4;;2005;1;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;;;;1;;;Statistician;1;15;100;5;;0;0;0;1;1;0;;1;3;3;2;2;2;2;0;3;0;1;2;77'129;1;3;;2;3;5;5;1;2;1;4;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;2025-12-25;1;en;681055;2025-12-25;2025-12-25;2;2002;1;;9;26;1;4;;3;3;;2023;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;3;;Student;;0;;6;;1;0;1;0;0;0;;4;0;1;0;0;1;4;2;4;0;2;0;;;2;4;2;2;1;3;4;4;4;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;2025-04-26;3;en;232346;2025-04-26;2025-04-26;1;1981;1;;4;14;1;2;;3;5;;2018;1;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Postdoc;1;10;60;4;;1;0;1;0;0;1;;0;3;0;2;1;0;1;1;3;3;1;0;64'907;2;;4;3;4;3;2;3;4;1;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;2025-08-19;7;en;342419;2025-08-19;2025-08-19;1;1956;1;;1;5;0;2;;3;5;;2008;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;0;0;0;1;0;0;0;;;;1;;;PhD student;26;16;100;3;;1;0;1;0;0;0;;2;2;3;0;4;1;1;1;0;3;1;3;77'024;2;4;1;3;4;2;2;2;4;3;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;2025-09-26;1;en;267905;2025-09-26;2025-09-26;1;1981;1;;20;28;0;3;;3;4;;2022;1;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;5;;Retired;;0;;6;;1;1;0;0;0;0;;2;3;0;0;2;2;2;2;0;2;4;1;;;2;1;5;1;;1;;2;2;2;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;2025-11-06;1;en;707774;2025-11-06;2025-11-06;1;1985;1;;22;6;1;2;;2;5;;2008;1;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Project Manager;12;16;100;1;;1;0;0;0;0;0;;0;2;0;0;4;0;1;1;4;3;2;3;142'916;1;;1;2;2;5;;2;;5;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;2025-08-10;9;en;607270;2025-08-10;2025-08-10;2;1958;2;1;22;1;1;2;;4;2;;1976;1;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Epidemiologist;5;51;70;3;;1;0;0;1;0;0;;1;3;0;1;0;0;4;2;0;3;1;3;172'832;2;4;4;1;2;;3;2;5;2;5;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;2026-01-20;1;en;619346;2026-01-20;2026-01-20;1;1968;2;1;14;19;1;3;;1;3;;1996;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Professor;10;26;100;2;;0;0;0;0;1;0;;2;1;4;1;4;0;1;1;3;2;1;1;139'381;2;3;3;4;1;5;2;3;2;2;3;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;2025-03-26;3;en;819288;2025-03-26;2025-03-26;1;1959;1;;14;20;0;1;;3;4;;2006;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1;0;0;0;0;0;0;;;;0;4;;Unemployed;;0;;6;;1;0;1;0;0;0;;3;2;1;0;4;2;3;3;1;1;1;0;;;2;2;4;2;2;4;5;4;2;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;2025-07-04;13;en;234164;2025-07-04;2025-07-04;1;1962;1;;20;17;1;5;;2;2;;1984;1;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;;;;1;;;ML Engineer;11;36;100;4;;0;1;0;1;0;0;;4;2;0;1;0;2;4;3;0;1;0;0;72'728;4;2;4;3;2;2;3;3;2;3;2;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;2025-04-05;12;en;241265;2025-04-05;2025-04-05;2;1980;1;;11;2;1;2;;3;4;;2007;1;;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Data Analyst;28;17;70;4;;0;0;0;0;1;1;;3;3;2;1;2;3;1;1;0;1;2;3;132'479;2;1;3;1;3;1;2;3;5;3;1;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;2026-01-16;15;en;550144;2026-01-16;2026-01-16;1;1979;2;1;12;11;1;2;;3;4;;1998;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;0;0;1;0;0;0;1;;;;1;;;Research Scientist;30;30;100;1;;0;0;0;0;0;1;;0;1;1;1;2;3;2;1;1;2;3;3;122'920;5;1;2;2;4;1;1;2;3;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;2025-02-13;6;en;473276;2025-02-13;2025-02-13;1;1972;1;;12;28;1;1;;3;5;;2023;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Project Manager;9;7;60;2;;0;0;0;0;0;1;;1;1;3;2;3;3;0;2;3;3;1;0;155'061;2;3;2;1;1;;1;2;3;4;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;2026-02-05;19;en;137759;2026-02-05;2026-02-05;2;1976;2;2;17;15;1;1;;1;4;;1998;2;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;PhD student;19;28;90;2;;0;0;0;1;0;0;;3;3;0;1;1;3;3;1;1;1;2;3;171'602;3;2;4;3;;2;4;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;2025-10-13;5;en;347618;2025-10-13;2025-10-13;2;1997;2;6;2;15;0;1;;4;2;;2020;2;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;;;;1;;;Postdoc;23;11;100;4;;0;0;0;0;1;1;;3;1;2;0;0;2;0;3;4;0;2;2;98'662;2;1;1;2;2;4;2;4;3;2;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;2025-04-24;14;en;540401;2025-04-24;2025-04-24;1;1995;1;;19;15;0;3;;2;2;;2024;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Research Scientist;18;3;50;3;;0;0;0;1;1;0;;4;0;0;2;2;1;1;1;0;0;2;0;96'833;1;2;2;2;1;2;3;2;4;3;2;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;2025-01-15;10;en;460329;2025-01-15;2025-01-15;2;1980;1;;12;1;1;5;;2;5;;2025;1;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;1;0;;;;1;;;Statistician;12;3;100;3;;1;0;1;1;0;0;;3;1;2;3;2;3;4;2;2;1;0;3;155'348;2;2;3;1;3;2;2;3;4;2;3;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;2026-01-05;10;en;375602;2026-01-05;2026-01-05;2;1959;1;;24;1;1;3;;4;2;;1987;1;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;Bioinformatics;0;0;1;0;0;0;0;;;;1;;;ML Engineer;6;41;100;3;;0;0;0;1;0;0;;1;3;0;0;2;1;3;1;3;3;3;2;70'275;1;2;;2;;3;3;2;4;3;4;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;2025-05-01;14;en;206298;2025-05-01;2025-05-01;1;1993;1;;15;15;1;2;;2;5;;2022;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Data Scientist;24;2;100;2;;0;0;0;0;1;0;;1;1;4;1;1;1;0;1;2;2;1;3;85'505;2;2;;3;1;2;3;3;1;1;5;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;2025-06-26;8;en;858268;2025-06-26;2025-06-26;1;1983;1;;11;25;1;1;;1;5;;2017;1;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Postdoc;21;4;100;3;;0;1;0;0;1;0;;4;2;2;1;4;3;0;3;4;3;3;0;171'422;4;3;1;3;3;2;4;3;;4;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;2026-02-05;11;en;299579;2026-02-05;2026-02-05;1;1958;2;1;9;28;1;2;;3;4;;2013;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Professor;11;17;80;3;;0;1;0;1;0;0;;4;3;4;1;3;3;3;3;1;3;0;2;164'543;1;3;5;5;3;5;2;2;4;1;3;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;2025-03-22;12;en;127130;2025-03-22;2025-03-22;1;2000;1;;15;24;1;2;;2;5;;2020;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Epidemiologist;3;5;100;2;;1;0;0;0;0;0;;0;1;1;3;2;1;4;3;1;0;0;3;137'732;1;3;3;;1;3;2;4;2;1;3;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;2025-07-26;12;en;538341;2025-07-26;2025-07-26;1;1956;2;1;14;21;0;3;;1;2;;2025;1;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;0;0;1;0;0;0;0;;;;1;;;Quantitative Analyst;8;5;100;3;;0;0;0;0;0;0;;4;1;4;1;2;2;4;2;4;1;2;3;64'037;3;4;4;3;4;2;2;3;2;4;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;2025-08-27;3;en;617371;2025-08-27;2025-08-27;1;1993;2;2;19;3;1;1;;2;5;;2021;1;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;;0;1;0;0;0;0;0;;;;1;;;Consultant;20;0;80;2;;0;0;0;1;1;0;;2;1;3;2;3;3;4;1;1;3;0;3;85'259;5;1;3;2;1;3;;3;5;5;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
